client,num_images
test,17964
0,452
1,40
10,50
100,140
1000,100
1001,31
1002,143
1003,28
1004,46
1005,27
1006,119
1007,155
1008,770
1009,68
101,110
1010,26
1011,76
1012,80
1013,34
1014,131
1015,71
1016,126
1017,30
1018,33
1019,35
102,175
1020,83
1021,36
1022,37
1023,324
1024,29
1025,61
1026,217
1027,86
1028,79
1029,635
103,239
1030,131
1031,78
1032,47
1033,143
1034,34
1035,299
1036,133
1037,82
1038,1042
1039,34
104,167
1040,183
1041,33
1042,49
1043,125
1044,83
1045,76
1046,49
1047,27
1048,196
1049,57
105,327
1050,66
1051,89
1052,131
1053,36
1054,51
1055,30
1056,53
1057,86
1058,66
1059,148
106,65
1060,135
1061,2858
1062,245
1063,50
1064,56
1065,33
1066,150
1067,40
1068,52
1069,378
107,97
1070,34
1071,29
1072,45
1073,41
1074,31
1075,44
1076,37
1077,300
1078,47
1079,29
108,389
1080,165
1081,64
1082,112
1083,29
1084,57
1085,42
1086,123
1087,31
1088,57
1089,119
109,38
1090,61
1091,142
1092,57
1093,73
1094,47
1095,82
1096,46
1097,30
1098,175
1099,47
11,62
110,42
1100,86
1101,220
1102,37
1103,30
1104,85
1105,30
1106,58
1107,130
1108,28
1109,115
111,30
1110,31
1111,57
1112,46
1113,104
1114,93
1115,30
1116,58
1117,395
1118,30
1119,60
112,61
1120,52
1121,28
1122,68
1123,75
1124,71
1125,53
1126,314
1127,83
1128,33
1129,121
113,144
1130,408
1131,76
1132,33
1133,77
1134,56
1135,32
1136,57
1137,60
1138,45
1139,108
114,30
1140,54
1141,139
1142,190
1143,99
1144,38
1145,218
1146,74
1147,465
1148,41
1149,33
115,30
1150,115
1151,82
1152,37
1153,42
1154,25
1155,74
1156,159
1157,69
1158,203
1159,44
116,39
1160,37
1161,47
1162,59
1163,33
1164,43
1165,62
1166,92
1167,419
1168,137
1169,41
117,69
1170,26
1171,130
1172,67
1173,38
1174,52
1175,37
1176,40
1177,177
1178,391
1179,49
118,555
1180,172
1181,253
1182,59
1183,40
1184,42
1185,106
1186,34
1187,31
1188,55
1189,75
119,950
1190,66
1191,204
1192,175
1193,29
1194,131
1195,74
1196,61
1197,32
1198,180
1199,57
12,58
120,82
1200,74
1201,78
1202,353
1203,152
1204,204
1205,664
1206,431
1207,56
1208,170
1209,53
121,226
1210,246
1211,38
1212,37
1213,127
1214,84
1215,81
1216,304
1217,77
1218,102
1219,194
122,30
1220,88
1221,64
1222,152
1223,97
1224,68
1225,221
1226,48
1227,201
1228,203
1229,109
123,52
1230,39
1231,63
1232,66
1233,104
1234,117
1235,44
1236,35
1237,49
1238,1252
1239,61
124,46
1240,373
1241,33
1242,31
1243,72
1244,139
1245,47
1246,152
1247,52
1248,480
1249,61
125,78
1250,62
1251,56
1252,154
1253,44
1254,362
1255,118
1256,32
1257,314
1258,41
1259,49
126,231
1260,43
1261,28
127,60
128,33
129,33
13,73
130,32
131,249
132,47
133,88
134,137
135,33
136,398
