client,num_images
test,35641
0_0,19
0_10,3
0_11,17
0_120,6
0_1220,55
0_1221,50
0_1222,52
0_1223,41
0_123,3
0_13,44
0_2001,11
0_2002,3
0_2003,18
0_201,17
0_203,4
0_2110,2
0_21110,63
0_21111,8
0_21112,81
0_21113,3
0_2112,80
0_2113,4
0_2120,18
0_21210,96
0_212110,57
0_212111,47
0_212112,25
0_2121130,2
0_2121131,23
0_21211321,3
0_21211322,6
0_212113230,61
0_212113232,25
0_212113233,18
0_2121133,11
0_21212,15
0_21213,30
0_2122,43
0_221,48
0_22200,10
0_222032,31
0_222033,86
0_223,8
0_23,25
0_30,97
0_31,8
0_32,17
0_33,51
1_0,4
1_1,97
1_20,37
1_21,11
1_220,65
1_2220,2
1_2222,5
1_22230,21
1_22231,9
1_22232,9
1_22233100,3
1_22233102,20
1_2223310302,35
1_2223310303,85
1_2223310310,31
1_2223310311,15
1_2223310312,30
1_2223310313,56
1_222331032,6
1_222331033,26
1_2223311,4
1_2223312,9
1_222332,25
1_223,5
1_23,9
1_3,75
2_0000,46
2_0001,3
2_0002,56
2_0003,86
2_001,15
2_002,8
2_02,22
2_0300,18
2_0301,2
2_03020,14
2_03021,2
2_03022100,3
2_03022101,5
2_0302210220,52
2_0302210221,47
2_0302210222,4
2_0302210223,3
2_0302212,2
2_0302213,5
2_03023,49
2_0303,14
2_0310,52
2_0311,11
2_0312,20
2_0313,52
2_0320,14
2_0321000,2
2_032100201,97
2_032100202,7
2_032100203,13
2_03210023,9
2_03212,3
2_03213,2
2_03220,7
2_03222,2
2_032230,29
2_032231,77
2_032233,22
2_03230,24
2_03231,25
2_03232,51
2_03233,89
2_0330000,47
2_0330001,13
2_0330002,22
2_0330003,89
2_033001,10
2_033002,85
2_0330030,58
2_0330031,52
2_0330033,21
2_033010,78
2_033011,34
2_033012,24
2_033013,59
2_033020,62
2_033021,2
2_033022,96
2_0330230,20
2_0330232,25
2_033023310,88
2_033023311,7
2_033023312,28
2_03302331300,45
2_03302331303,92
2_0330233131,8
2_0330233200,68
2_0330233201,2
2_0330233202,10
2_0330233203,24
2_033023321,11
2_03302333,5
2_033030,7
2_033031,68
2_033032,51
2_033033,2
2_033100,7
2_033101,2
2_033102,80
2_0331030,12
2_03310312,6
2_033103130,7
2_033103132,17
2_0331031330,67
2_0331031331,36
2_0331031333,57
2_0331032,85
2_0331033,2
2_033110,31
2_033111,13
2_033112,8
2_0331130,2
2_03311332,3
2_0331133320,2
2_03311333220,9
2_03311333221,25
2_03311333222,12
2_033113332231,23
2_033113332232201021,68
2_033113332232201022,42
2_0331133322322011,4
2_033113332232202,3
2_03311333223223,3
2_0331133322323,4
2_0331133323,18
2_033113333,16
2_03312,66
2_033130,32
2_033131,4
2_033132,96
2_0331330,20
2_03313320,86
2_03313321,13
2_03313322,8
2_033133230,2
2_033133231,33
2_033133232,85
2_033133233,19
2_033133300,26
2_033133302,2
2_0331333030,14
2_0331333031,26
2_033133303200,29
2_0331333032010,25
2_0331333032011110,6
2_0331333032011111,62
2_0331333032011112,38
2_033133303201112,14
2_033133303201113,14
2_03313330320112,47
2_03313330320113,4
2_0331333032012,20
2_0331333032013,57
2_033133303202,25
2_03313330321,3
2_03313330322,5
2_033133303231,5
2_0331333032320,3
2_03313330323211,7
2_03313330323212,11
2_033133303232130,4
2_033133303232131000,15
2_033133303232131001,25
2_033133303232131002,68
2_03313330323213102,3
2_03313330323213103,2
2_0331333032322,13
2_033133303233,5
2_0331333033,98
2_03313331,51
2_03313333,7
2_033200,58
2_033201,9
2_033202,15
2_033203,38
2_03321,29
2_03322,5
2_03323,33
2_03330,89
2_03331,3
2_03332,9
2_03333,6
2_1000,16
2_1002,48
2_10030,43
2_10031,41
2_100320,19
2_100321,37
2_100322,13
2_100323,94
2_100330,69
2_100331,6
2_100332,8
2_100333,22
