client,num_images
test,35641
0_,1852
1_,695
2_00,214
2_030,223
2_031,135
2_032,475
2_0330,1316
2_0331,1870
2_0332,187
2_0333,107
2_10,466
2_11,240
2_1210,114
2_12110,254
2_12111,418
2_121121,277
2_1211220,196
2_1211221,716
2_1211222,1246
2_1211223,1753
2_121123,142
2_12113,47
2_1212,2380
2_122,487
2_20,45
2_21,1676
2_220,266
2_22100,527
2_22101,881
2_22102,1722
2_22103,152
2_2211,250
2_2212,806
2_2213,54
2_23,238
3_0,106
3_11,104
3_1220,645
3_1221,2179
3_1222,284
3_1223,424
3_3,238
4_001000,146
4_001001,226
4_0010020,1639
4_0010021,52
4_0010022,1320
4_0010023,2417
4_001003,165
4_001012,593
4_0010130,2388
4_0010131,47
4_00101320,762
4_00101323,2791
4_00101330,1106
4_00101331,2310
4_00101332,479
4_00101333,471
4_00102,1850
4_00103,1669
4_0011,193
4_001200,131
4_0012010,113
4_00120110,512
4_00120111,699
4_00120112,1796
4_00120113,154
4_0012012,299
4_001202,85
4_001203,94
4_00121,586
4_00122,238
4_001230,821
4_001231,1277
4_001232,1622
4_001233,522
4_0013,2068
4_002,111
4_020,915
4_0230,82
4_0231,226
4_0232,2669
4_0233,483
4_0301,2466
4_030200,1418
4_030201,222
4_0302020,472
4_0302021,2069
4_0302022,228
4_0302023,295
4_030203,426
4_030210,304
4_030211,98
4_030212,2903
4_0302130,2272
4_0302131,1498
4_0302133,48
4_03022,549
4_03023,2798
4_0303,2665
4_0310,889
4_0311,207
4_0312,713
4_0313,1997
4_032,2450
4_033,2550
4_1000,2130
4_10010,620
4_10011,399
4_10012,2949
4_10013,811
4_1002,2022
4_1003,1230
4_1010,423
4_1012,1401
4_1013,1228
4_102,31
4_10310,139
4_10311,880
4_10312,2533
4_10313,508
4_10320,2187
4_10321,658
4_10322,574
4_10323,300
4_103300,2810
4_103301,1043
4_103302,288
4_103303,770
4_10331,99
4_10333,96
4_12,100
4_13,1126
4_2,272
5_,414
